One Robot,Two Robots,Three Robots,Four Robots,Five Robots,Six Robots
0.0118896,0.0159815,0.0292313,0.0071788,0.0120582,0.0155899
0.0104527,0.0155419,0.0142193,0.0058089,0.0178513,0.0108009
0.0305694,0.0133498,0.0153012,0.0117959,0.0104556,0.010039
0.0134223,0.0112757,0.0114687,0.0158789,0.0071122,0.0065195
0.0099986,0.02841,0.0155146,0.0134564,0.0126789,0.0150128
0.0090693,0.0100732,0.0156276,0.0138016,0.0148787,0.0116787
0.0156734,0.0072033,0.0144598,0.0140087,0.0071982,0.0104314
0.0159681,0.0082243,0.015268,0.0140578,0.0120491,0.0117709
0.010683,0.0070822,0.0140745,0.0141214,0.0139224,0.0135847
0.0143993,0.0056974,0.0155965,0.0163433,0.0110066,0.0154443
0.0139367,0.00705,0.0077594,0.0141007,0.0129175,0.0151623
0.0083344,0.0131991,0.0148021,0.0162024,0.015534,0.0170505
0.0094978,0.0096463,0.0174207,0.0132916,0.0080681,0.0136053
0.0154177,0.0102396,0.0117645,0.0135983,0.0123093,0.0144389
0.0132312,0.0143084,0.0161996,0.0316699,0.0129075,0.0155075
0.0157273,0.0163482,0.0172821,0.0136736,0.0135939,0.0106023
0.0161493,0.0153611,0.0116473,0.0161895,0.0125036,0.0179345
0.0113568,0.0115196,0.0086819,0.00973,0.0129851,0.0121959
0.0158843,0.0118076,0.0128909,0.0085467,0.0098575,0.0133073
0.0134483,0.0140771,0.013753,0.0065117,0.0110532,0.0169037
0.0162715,0.0138578,0.0089931,0.012599,0.0286059,0.0127033
0.012615,0.0167185,0.0125382,0.0125828,0.013898,0.0138111
0.0077948,0.0123947,0.0106539,0.0067396,0.0144491,0.0325414
0.0076146,0.0149931,0.0134403,0.0063353,0.0095203,0.0153162
0.0133632,0.011138,0.0294404,0.010134,0.0068985,0.0109433
0.0154489,0.0145222,0.0152914,0.005643,0.01304,0.0110208
0.0245794,0.0134509,0.0100885,0.0119348,0.0139268,0.0110001
0.0114799,0.005933,0.0157122,0.0151574,0.0095565,0.0175169
0.017259,0.0236762,0.0109046,0.0060838,0.0123734,0.0131089
0.0074826,0.0070364,0.0132237,0.0089318,0.0105375,0.0154359
0.0056375,0.0156209,0.0149416,0.0144685,0.0155136,0.0141387
0.0054393,0.0098558,0.0149226,0.0093567,0.0125897,0.0152598
0.0075885,0.0133141,0.0120909,0.0115108,0.0121123,0.0149821
0.0127297,0.0157332,0.0145533,0.0153848,0.0169395,0.0126077
0.0083186,0.0157597,0.0127943,0.0121318,0.0134973,0.0151005
0.0134655,0.0152064,0.0137402,0.0132245,0.0141752,0.0109453
0.0137621,0.0161821,0.0175299,0.0143566,0.0148716,0.0312353
0.0135678,0.0130865,0.0127288,0.0152569,0.0160711,0.0131919
0.0102683,0.0145155,0.0154621,0.0291646,0.0155788,0.0136776
0.0147896,0.0159381,0.0154138,0.012233,0.0145066,0.0139994
0.0146307,0.0148271,0.0148162,0.0132489,0.0143017,0.0154108
0.0102604,0.0137837,0.0169753,0.0106346,0.0146292,0.0160958
0.0153187,0.0123396,0.0140413,0.0117749,0.0159028,0.0169946
0.0121725,0.0104144,0.0154455,0.0136031,0.0178114,0.0156089
0.0154797,0.012877,0.0125864,0.0178614,0.029537,0.009504
0.0151486,0.0114173,0.0126255,0.0120069,0.0076007,0.0127229
0.0145037,0.0086655,0.0157283,0.0145087,0.0077235,0.0105226
0.011666,0.0103008,0.0120088,0.0137612,0.0129875,0.0112054
0.01215,0.0088319,0.0346539,0.0152423,0.0122571,0.0150344
0.006683,0.0142965,0.0082929,0.0159277,0.0137672,0.0094111
0.0261686,0.0131721,0.00864,0.0151853,0.0137771,0.0114838
0.0120566,0.0112894,0.0075755,0.0149851,0.0101253,0.0130276
0.0135015,0.0249604,0.0144301,0.0173596,0.0141272,0.0135871
0.0122645,0.0137863,0.0132379,0.0147588,0.0149029,0.0133811
0.015199,0.0089756,0.0108248,0.0147161,0.0133439,0.0296336
0.0158998,0.0102135,0.0143339,0.0128189,0.0119929,0.0115555
0.005658,0.0110089,0.0126349,0.015964,0.0132059,0.0131779
0.0061613,0.010599,0.0121758,0.0111198,0.0133673,0.0128541
0.0053579,0.0140774,0.0136809,0.0056345,0.0130907,0.0152344
0.00493,0.0113707,0.0115279,0.0066115,0.0143532,0.0086236
0.0067917,0.0107812,0.0123886,0.0080303,0.0144646,0.0130543
0.0048386,0.016365,0.0136157,0.0118843,0.0154569,0.0117483
0.0090513,0.0082595,0.0096393,0.0288306,0.0136945,0.0180582
0.0122854,0.0121531,0.0112057,0.0116998,0.0149761,0.0135259
0.0099546,0.0104382,0.0119214,0.0132954,0.0159055,0.0070079
0.0122347,0.009969,0.0111024,0.0106605,0.0158898,0.0161059
0.0151939,0.0116497,0.0114172,0.0096507,0.0163833,0.0124083
0.0079684,0.0135352,0.0132089,0.0093112,0.0118907,0.0138409
0.0129734,0.0094511,0.0159334,0.0160132,0.0304593,0.0139009
0.0120495,0.0128782,0.0109943,0.011613,0.0151069,0.0144745
0.0155172,0.0175247,0.012248,0.0117271,0.0156863,0.0136521
0.0085547,0.015199,0.0103122,0.0153096,0.015655,0.0177077
0.0111198,0.0141258,0.0278309,0.0108671,0.0131598,0.016011
0.0111042,0.0069764,0.0086245,0.0156927,0.0151699,0.0087607
0.0280603,0.0096199,0.0156027,0.0107829,0.0090411,0.0117252
0.0111031,0.0124593,0.0141942,0.0146872,0.0116762,0.0105355
0.0135159,0.0274862,0.0111925,0.0153973,0.0155856,0.009658
0.0150706,0.0130275,0.0128776,0.0175783,0.0149687,0.0160178
0.0094241,0.0112234,0.0153181,0.0127568,0.0158575,0.0299221
0.0174279,0.0087365,0.0150686,0.0139475,0.0143712,0.0161207
0.0175032,0.0107254,0.0159642,0.0144399,0.0173738,0.0125017
0.0123204,0.0102072,0.0180615,0.0152763,0.012914,0.0144433
0.015963,0.0101434,0.0115583,0.0150762,0.0071144,0.0120636
0.0104606,0.00545,0.0157051,0.0140975,0.0140334,0.0156972
0.0159176,0.0060173,0.0110813,0.0130363,0.007003,0.0154434
0.0069566,0.006486,0.0077383,0.0149186,0.0068342,0.014504
0.0103692,0.005591,0.015205,0.0328183,0.0117316,0.0107027
0.0154936,0.007996,0.0113804,0.01583,0.0094647,0.0127423
0.014749,0.0128349,0.0076614,0.0140005,0.013451,0.0104527
0.0122359,0.0111822,0.0152272,0.0099722,0.0089448,0.0119591
0.0118959,0.0149328,0.0158952,0.0076994,0.0154806,0.0109572
0.0077542,0.0090576,0.0171412,0.0100331,0.0064284,0.0121149
0.0125422,0.0146006,0.0139402,0.0143187,0.0272283,0.0146592
0.0139635,0.0139668,0.0164338,0.0135315,0.0118877,0.0149178
0.0136051,0.0166922,0.01241,0.0140136,0.0121935,0.0133388
0.0137501,0.0086094,0.0114352,0.0114638,0.0151936,0.0139825
0.0096943,0.0134525,0.0277604,0.0124201,0.0128827,0.0105659
0.0097403,0.0129,0.011146,0.0132367,0.0127503,0.0133881
0.0292206,0.0128001,0.0070965,0.0164268,0.0137513,0.0159535
0.00883,0.0070832,0.0074796,0.0117839,0.0168226,0.0129887
0.0110217,0.0278109,0.0062201,0.0122096,0.0187008,0.0074476
0.0065771,0.0127926,0.0105652,0.0114538,0.0116494,0.0106792
0.0110203,0.0153052,0.0138386,0.0119181,0.0125059,0.0109101
0.0103292,0.0166393,0.0067891,0.0110931,0.0142043,0.0096177
0.0149533,0.0113662,0.0109106,0.0144716,0.0164588,0.0087823
0.0180693,0.011945,0.0102941,0.0127063,0.0146789,0.0118578
0.0117941,0.0131927,0.0096011,0.0129747,0.0158177,0.0119909
0.0085248,0.0131593,0.0148234,0.0130037,0.0134714,0.0122146
0.0109483,0.0129975,0.0109368,0.0105498,0.0129922,0.0153443
0.0152235,0.0149244,0.0148972,0.0124717,0.0158127,0.0102281
0.0156687,0.0141205,0.0146321,0.0268577,0.0147198,0.015727
0.0103955,0.0139269,0.0154721,0.0150737,0.0165635,0.0114299
0.0157875,0.0160539,0.0118976,0.0128674,0.0152215,0.0157865
0.0140464,0.0146351,0.018006,0.0141489,0.0151948,0.007413
0.0123148,0.0179815,0.0083394,0.0148968,0.0145301,0.0133249
0.0144396,0.0110597,0.0055244,0.0146395,0.0145209,0.0157729
0.0126275,0.0131693,0.0075113,0.0131396,0.0316475,0.0144851
0.0142218,0.0153592,0.0113712,0.0157967,0.0156215,0.0157966
0.0141204,0.0130507,0.0150697,0.0107366,0.0147132,0.0173694
0.0114251,0.0144615,0.0153329,0.0133567,0.0164453,0.0154507
0.0115224,0.0122802,0.0329663,0.0130476,0.0108308,0.0106543
0.0142546,0.0104076,0.0149591,0.0157266,0.013176,0.0137016
0.0266785,0.0161987,0.0139042,0.0158047,0.0105515,0.0151981
0.0151419,0.0116284,0.0098905,0.0137111,0.0067937,0.0175217
0.0147863,0.028481,0.0119235,0.0153256,0.0074031,0.0110335
0.013295,0.0065905,0.009497,0.0162736,0.0123667,0.0137415
0.0119702,0.0100733,0.0115501,0.0148281,0.0100676,0.0133966
0.0141323,0.0115836,0.0136764,0.0144253,0.0126756,0.0140441
0.0114934,0.0137267,0.00987,0.0166791,0.0137577,0.0117369
0.0076667,0.0099676,0.0054304,0.013519,0.0139338,0.010357
0.0161512,0.015778,0.014904,0.011053,0.012185,0.0080123
0.0147849,0.0087062,0.0118839,0.0147422,0.0085722,0.0075849
0.0165899,0.0054346,0.0070355,0.008163,0.0105986,0.0090543
0.0139501,0.0132966,0.0146403,0.0074902,0.0099609,0.016116
0.016716,0.0170154,0.0141818,0.0283624,0.0156492,0.0066642
0.0159593,0.0132814,0.0104753,0.0097585,0.0140794,0.0076264
0.0059507,0.013874,0.0158427,0.0135811,0.0128008,0.0239913
0.0050313,0.0140275,0.0070685,0.0128732,0.0128156,0.0111636
0.0090975,0.0160523,0.0143797,0.01167,0.0126264,0.0148439
0.014926,0.0095335,0.0115774,0.0091603,0.0147238,0.015187
0.0066755,0.0116685,0.0112596,0.0083045,0.0285163,0.0106404
0.0122174,0.0173634,0.0138096,0.0145124,0.0162864,0.0096453
